Label	Projects	Office	Seniority	Node_Set
1	9	3	0	1
2	5	2	0	1
3	0	3	0	1
4	1	3	0	1
5	13	1	1	1
6	0	2	0	1
7	0	1	0	1
8	7	1	1	1
9	5	1	1	1
10	9	2	0	1
11	2	1	1	1
12	12	2	1	1
13	4	2	1	1
14	1	1	0	1
15	0	1	0	1
16	14	2	1	1
17	5	1	1	1
18	1	1	0	1
19	2	1	0	1
20	5	2	0	1
21	1	2	0	1
22	0	2	0	1
23	6	1	1	1
24	4	2	1	1
25	6	2	1	1
26	27	2	1	1
27	1	3	0	1
28	6	2	0	1
29	7	1	1	1
30	15	2	0	1
31	19	3	1	1
32	17	2	1	1
33	18	2	1	1
34	4	3	1	1
35	16	2	1	1
36	14	1	1	1
37	19	1	1	1
38	8	1	0	1
